LINKNO,subw_4,subw_5,subw_6,subw_7,Subw_8
33844,441,69,19,5,1
33620,189,69,19,5,1
33396,504,69,19,5,1
33172,504,69,19,5,1
32948,441,69,19,5,1
34069,441,69,19,5,1
32277,504,69,19,5,1
32053,189,69,19,5,1
32724,441,69,19,5,1
32500,441,69,19,5,1
32276,441,69,19,5,1
32052,441,69,19,5,1
31828,441,69,19,5,1
31604,441,69,19,5,1
31380,441,69,19,5,1
31156,441,69,19,5,1
30932,441,69,19,5,1
30708,189,69,19,5,1
30484,441,69,19,5,1
30260,441,69,19,5,1
30036,189,69,19,5,1
29812,189,69,19,5,1
29588,441,69,19,5,1
29364,441,69,19,5,1
31157,441,69,19,5,1
21747,189,69,19,5,1
28916,448,69,19,5,1
28692,448,69,19,5,1
28468,448,69,19,5,1
28244,448,69,19,5,1
28020,448,69,19,5,1
27796,448,69,19,5,1
27572,448,69,19,5,1
27348,448,69,19,5,1
27124,504,69,19,5,1
26900,504,69,19,5,1
26676,448,69,19,5,1
26452,448,69,19,5,1
26228,504,69,19,5,1
26004,448,69,19,5,1
25780,441,69,19,5,1
25556,441,69,19,5,1
25332,448,69,19,5,1
25108,448,69,19,5,1
22197,448,69,19,5,1
6293,448,69,19,5,1
4277,448,69,19,5,1
4053,189,69,19,5,1
3605,448,69,19,5,1
2709,441,69,19,5,1
3157,441,69,19,5,1
469,504,69,19,5,1
245,189,69,19,5,1
16819,189,69,19,5,1
16595,504,69,19,5,1
24884,441,69,19,5,1
24660,441,69,19,5,1
24436,189,69,19,5,1
24212,441,69,19,5,1
23764,504,69,19,5,1
23540,441,69,19,5,1
23316,189,69,19,5,1
23092,504,69,19,5,1
22868,189,69,19,5,1
22644,448,69,19,5,1
22420,189,69,19,5,1
22196,189,69,19,5,1
21972,189,69,19,5,1
21748,504,69,19,5,1
21524,189,69,19,5,1
21300,504,69,19,5,1
21076,189,69,19,5,1
20852,441,69,19,5,1
20628,189,69,19,5,1
20404,441,69,19,5,1
20180,448,69,19,5,1
19956,441,69,19,5,1
19732,441,69,19,5,1
19508,504,69,19,5,1
19284,441,69,19,5,1
18836,448,69,19,5,1
18612,448,69,19,5,1
17940,504,69,19,5,1
17716,504,69,19,5,1
17492,441,69,19,5,1
17268,448,69,19,5,1
17044,441,69,19,5,1
16820,448,69,19,5,1
16596,441,69,19,5,1
16372,189,69,19,5,1
16148,189,69,19,5,1
15924,504,69,19,5,1
15700,441,69,19,5,1
15476,441,69,19,5,1
15252,504,69,19,5,1
15028,504,69,19,5,1
14804,448,69,19,5,1
14580,448,69,19,5,1
14356,448,69,19,5,1
14132,504,69,19,5,1
13908,504,69,19,5,1
13684,441,69,19,5,1
13460,441,69,19,5,1
13236,189,69,19,5,1
13012,504,69,19,5,1
12788,189,69,19,5,1
12564,189,69,19,5,1
12340,504,69,19,5,1
12116,189,69,19,5,1
11892,504,69,19,5,1
11668,504,69,19,5,1
11444,441,69,19,5,1
11220,441,69,19,5,1
10996,441,69,19,5,1
10772,448,69,19,5,1
10548,441,69,19,5,1
10324,441,69,19,5,1
10100,441,69,19,5,1
9876,441,69,19,5,1
9652,504,69,19,5,1
9428,504,69,19,5,1
9204,441,69,19,5,1
8980,441,69,19,5,1
8756,448,69,19,5,1
8532,448,69,19,5,1
8308,504,69,19,5,1
8084,448,69,19,5,1
7860,189,69,19,5,1
7636,189,69,19,5,1
7412,189,69,19,5,1
7188,441,69,19,5,1
6964,441,69,19,5,1
6740,504,69,19,5,1
6516,189,69,19,5,1
6292,441,69,19,5,1
6068,189,69,19,5,1
5844,189,69,19,5,1
5620,441,69,19,5,1
5396,448,69,19,5,1
5172,504,69,19,5,1
4948,189,69,19,5,1
4724,189,69,19,5,1
4500,504,69,19,5,1
4052,441,69,19,5,1
3828,189,69,19,5,1
3604,448,69,19,5,1
3380,441,69,19,5,1
3156,441,69,19,5,1
2708,448,69,19,5,1
2260,441,69,19,5,1
2036,441,69,19,5,1
1812,189,69,19,5,1
1588,504,69,19,5,1
1140,441,69,19,5,1
916,189,69,19,5,1
692,441,69,19,5,1
244,448,69,19,5,1
36757,189,69,19,5,1
36533,189,69,19,5,1
36309,189,69,19,5,1
38772,189,69,19,5,1
35861,504,69,19,5,1
35637,504,69,19,5,1
35413,504,69,19,5,1
35189,504,69,19,5,1
34965,504,69,19,5,1
34741,504,69,19,5,1
34517,504,69,19,5,1
34293,504,69,19,5,1
37204,504,69,19,5,1
33845,441,69,19,5,1
33621,441,69,19,5,1
33397,441,69,19,5,1
33173,441,69,19,5,1
32949,441,69,19,5,1
32725,441,69,19,5,1
32501,441,69,19,5,1
31605,504,69,19,5,1
31381,441,69,19,5,1
45494,441,69,19,5,1
21077,411,128,22,5,1
693,189,69,19,5,1
21,504,69,19,5,1
30933,504,69,19,5,1
30709,504,69,19,5,1
30485,441,69,19,5,1
30261,441,69,19,5,1
30037,504,69,19,5,1
29813,441,69,19,5,1
29589,504,69,19,5,1
29365,441,69,19,5,1
4726,407,111,19,5,1
31158,375,102,22,5,1
5174,504,69,19,5,1
23988,504,69,19,5,1
18164,441,69,19,5,1
18388,441,69,19,5,1
28469,441,69,19,5,1
28021,189,69,19,5,1
27797,441,69,19,5,1
27573,189,69,19,5,1
27349,441,69,19,5,1
27125,411,128,22,5,1
26901,504,69,19,5,1
26677,411,128,22,5,1
26453,411,128,22,5,1
26229,189,69,19,5,1
26005,411,128,22,5,1
25781,407,111,19,5,1
25333,441,69,19,5,1
25109,504,69,19,5,1
24885,441,69,19,5,1
24661,407,111,19,5,1
24437,189,69,19,5,1
24213,441,69,19,5,1
23765,441,69,19,5,1
23541,411,128,22,5,1
23317,407,111,19,5,1
23093,407,111,19,5,1
22645,441,69,19,5,1
22421,441,69,19,5,1
21973,174,69,19,5,1
21749,504,69,19,5,1
21525,441,69,19,5,1
21301,375,102,22,5,1
20629,504,69,19,5,1
19733,504,69,19,5,1
19285,441,69,19,5,1
18837,407,111,19,5,1
18389,174,69,19,5,1
18165,504,69,19,5,1
17941,441,69,19,5,1
17717,411,128,22,5,1
17493,375,102,22,5,1
17045,174,69,19,5,1
16597,407,111,19,5,1
16373,174,69,19,5,1
16149,375,102,22,5,1
15925,504,69,19,5,1
15701,407,111,19,5,1
15477,411,128,22,5,1
15253,411,128,22,5,1
15029,189,69,19,5,1
14805,407,111,19,5,1
14581,504,69,19,5,1
14357,441,69,19,5,1
14133,407,111,19,5,1
13909,441,69,19,5,1
13685,189,69,19,5,1
13461,441,69,19,5,1
13237,407,111,19,5,1
13013,441,69,19,5,1
12789,441,69,19,5,1
12341,441,69,19,5,1
12117,441,69,19,5,1
11893,189,69,19,5,1
11669,441,69,19,5,1
11445,441,69,19,5,1
11221,189,69,19,5,1
10997,189,69,19,5,1
10773,189,69,19,5,1
10549,441,69,19,5,1
10325,441,69,19,5,1
10101,441,69,19,5,1
9877,407,111,19,5,1
9653,504,69,19,5,1
9429,189,69,19,5,1
9205,411,128,22,5,1
8981,504,69,19,5,1
8757,504,69,19,5,1
8533,441,69,19,5,1
8309,441,69,19,5,1
8085,504,69,19,5,1
7861,411,128,22,5,1
7637,441,69,19,5,1
7413,504,69,19,5,1
7189,189,69,19,5,1
6965,441,69,19,5,1
6741,411,128,22,5,1
6517,441,69,19,5,1
6069,441,69,19,5,1
5845,189,69,19,5,1
5621,411,128,22,5,1
5397,448,69,19,5,1
5173,504,69,19,5,1
4949,441,69,19,5,1
4725,189,69,19,5,1
4501,448,69,19,5,1
3829,504,69,19,5,1
3381,441,69,19,5,1
2933,504,69,19,5,1
2485,441,69,19,5,1
2261,504,69,19,5,1
2037,411,128,22,5,1
1813,504,69,19,5,1
1589,189,69,19,5,1
1365,441,69,19,5,1
1141,504,69,19,5,1
917,441,69,19,5,1
55126,189,69,19,5,1
54902,189,69,19,5,1
54678,189,69,19,5,1
36981,189,69,19,5,1
